CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
India,IND,1965,34.54
Indonesia,IDN,1965,22.99
"Iran, Islamic Rep.",IRN,1965,15.44
Iraq,IRQ,1965,40.06
Ireland,IRL,1965,79.76
Israel,ISR,1965,41.59
Italy,ITA,1965,84.47
Jamaica,JAM,1965,125.15
Japan,JPN,1965,128.3
Jordan,JOR,1965,55.37
Kazakhstan,KAZ,1965,53.4
Kenya,KEN,1965,27.3
Kiribati,KIR,1965,52.68
"Korea, Dem. Rep.",PRK,1965,44.44
"Korea, Rep.",KOR,1965,46.66
Kuwait,KWT,1965,2.33
Kyrgyz Republic,KGZ,1965,46
Lao PDR,LAO,1965,24.36
Latvia,LVA,1965,81.7
Lebanon,LBN,1965,38.6
Lesotho,LSO,1965,86.83
Liberia,LBR,1965,52.32
Libya,LBY,1965,28.84
Liechtenstein,LIE,1965,59.76
Lithuania,LTU,1965,92.1
"Macao SAR, China",MAC,1965,31.09
Madagascar,MDG,1965,48.72
Malawi,MWI,1965,25.93
Malaysia,MYS,1965,19.11
Maldives,MDV,1965,61.02
Mali,MLI,1965,24.04
Malta,MLT,1965,54.17
Marshall Islands,MHL,1965,172.8
Mauritania,MRT,1965,56.3
Mauritius,MUS,1965,109.4
Mexico,MEX,1965,40.11
"Micronesia, Fed. Sts.",FSM,1965,81.9
Moldova,MDA,1965,128.3
Mongolia,MNG,1965,101.13
Morocco,MAR,1965,35.92
Mozambique,MOZ,1965,54.82
Myanmar,MMR,1965,24.36
Namibia,NAM,1965,35.03
Nepal,NPL,1965,30.42
Netherlands,NLD,1965,46.76
New Caledonia,NCL,1965,145.75
New Zealand,NZL,1965,25.21
Nicaragua,NIC,1965,67.43
Niger,NER,1965,32.01
Nigeria,NGA,1965,26.21
Norway,NOR,1965,117.16
Oman,OMN,1965,17.01
Pakistan,PAK,1965,25.36
Panama,PAN,1965,73.71
