CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Uruguay,URY,1961,32.29
Vanuatu,VUT,1961,70.44
"Venezuela, RB",VEN,1961,36.34
Vietnam,VNM,1961,20.18
"Yemen, Rep.",YEM,1961,30.66
Zambia,ZMB,1961,27.87
Zimbabwe,ZWE,1961,47.38
Afghanistan,AFG,1962,68.9
Albania,ALB,1962,41.5
Algeria,DZA,1962,53.26
American Samoa,ASM,1962,59.35
Angola,AGO,1962,43.53
Antigua and Barbuda,ATG,1962,205.73
Argentina,ARG,1962,26.31
Armenia,ARM,1962,67.3
Australia,AUS,1962,29.85
Austria,AUT,1962,76.49
Azerbaijan,AZE,1962,95.4
"Bahamas, The",BHS,1962,40.92
Bahrain,BHR,1962,73.13
Bangladesh,BGD,1962,36.83
Barbados,BRB,1962,283.58
Belarus,BLR,1962,77.8
Belize,BLZ,1962,10.61
Benin,BEN,1962,17.96
Bermuda,BMU,1962,72.15
Bhutan,BTN,1962,29.85
Bolivia,BOL,1962,21.78
Bosnia and Herzegovina,BIH,1962,75.5
Botswana,BWA,1962,45.85
Brazil,BRA,1962,24.67
Brunei Darussalam,BRN,1962,83.19
Bulgaria,BGR,1962,129.94
Burkina Faso,BFA,1962,18.85
Burundi,BDI,1962,54.68
Cabo Verde,CPV,1962,46.21
Cambodia,KHM,1962,40.41
Cameroon,CMR,1962,27.99
Canada,CAN,1962,37.69
Cayman Islands,CYM,1962,120.9
Chad,TCD,1962,37.71
Chile,CHL,1962,30.84
China,CHN,1962,18.93
Colombia,COL,1962,34.76
Comoros,COM,1962,41.28
"Congo, Dem. Rep.",ZAR,1962,62.18
"Congo, Rep.",COG,1962,43.49
Costa Rica,CRI,1962,17.47
Cote d'Ivoire,CIV,1962,18.79
Croatia,HRV,1962,92.5
Cuba,CUB,1962,64.72
Cyprus,CYP,1962,102.33
Denmark,DNK,1962,59.93
Djibouti,DJI,1962,2.79
Dominica,DMA,1962,87.17
Dominican Republic,DOM,1962,72.29
Ecuador,ECU,1962,43.65
"Egypt, Arab Rep.",EGY,1962,26.82
El Salvador,SLV,1962,65.07
Equatorial Guinea,GNQ,1962,130.86
Estonia,EST,1962,129.6
Faeroe Islands,FRO,1962,135.14
Fiji,FJI,1962,77.45
Finland,FIN,1962,48.94
France,FRA,1962,81.74
French Polynesia,PYF,1962,150.54
Gabon,GAB,1962,34.62
"Gambia, The",GMB,1962,69.74
Georgia,GEO,1962,138.6
Germany,DEU,1962,89.51
Ghana,GHA,1962,27.59
Greece,GRC,1962,43.21
Grenada,GRD,1962,133.5
Guam,GUM,1962,27.47
Guatemala,GTM,1962,21.64
Guinea,GIN,1962,35.6
Guinea-Bissau,GNB,1962,40.63
Guyana,GUY,1962,73.48
Haiti,HTI,1962,78.69
Honduras,HND,1962,32.26
"Hong Kong SAR, China",HKG,1962,267.69
Hungary,HUN,1962,59.74
Iceland,ISL,1962,44.73
India,IND,1962,34.71
Indonesia,IDN,1962,22.73
"Iran, Islamic Rep.",IRN,1962,13.29
Iraq,IRQ,1962,39.2
Ireland,IRL,1962,99.99
Israel,ISR,1962,31.25
Italy,ITA,1962,76.81
Jamaica,JAM,1962,108
Japan,JPN,1962,124.99
Jordan,JOR,1962,40.12
Kazakhstan,KAZ,1962,144.1
Kenya,KEN,1962,25.55
Kiribati,KIR,1962,41.25
