CountryName,CountryCode,Year,Food production index (2004-2006 = 100)
Portugal,PRT,1961,72.37
Puerto Rico,PRI,1961,188.3
Qatar,QAT,1961,10.95
Romania,ROM,1961,62.48
Rwanda,RWA,1961,28
Samoa,WSM,1961,82.6
Sao Tome and Principe,STP,1961,76.72
Saudi Arabia,SAU,1961,9.58
Senegal,SEN,1961,63.19
Seychelles,SYC,1961,133.62
Sierra Leone,SLE,1961,33.76
Singapore,SGP,1961,425.69
Solomon Islands,SLB,1961,29.89
Somalia,SOM,1961,46.17
South Africa,ZAF,1961,41.98
Spain,ESP,1961,38.68
Sri Lanka,LKA,1961,41.73
St. Kitts and Nevis,KNA,1961,260.37
St. Lucia,LCA,1961,173.81
St. Vincent and the Grenadines,VCT,1961,91.92
Sudan,SDN,1961,22.22
Suriname,SUR,1961,42.66
Swaziland,SWZ,1961,33.6
Sweden,SWE,1961,97.09
Switzerland,CHE,1961,80.47
Syrian Arab Republic,SYR,1961,14.08
Tanzania,TZA,1961,25.33
Thailand,THA,1961,26.17
Timor-Leste,TMP,1961,81.84
Togo,TGO,1961,36.12
Tonga,TON,1961,111.69
Trinidad and Tobago,TTO,1961,99.88
Tunisia,TUN,1961,23.56
Turkey,TUR,1961,35.5
Tuvalu,TUV,1961,77.85
Uganda,UGA,1961,31.49
United Arab Emirates,ARE,1961,4.06
United Kingdom,GBR,1961,71.99
United States,USA,1961,45.58
Uruguay,URY,1961,44.66
Vanuatu,VUT,1961,60.9
"Venezuela, RB",VEN,1961,24.91
Vietnam,VNM,1961,20.92
Virgin Islands (U.S.),VIR,1961,231.21
"Yemen, Rep.",YEM,1961,28.27
Zambia,ZMB,1961,30.61
Zimbabwe,ZWE,1961,41.5
Arab World,ARB,1962,25.11475052
Caribbean small states,CSS,1962,68.94716985
East Asia & Pacific (all income levels),EAS,1962,20.03466642
East Asia & Pacific (developing only),EAP,1962,16.66335063
Euro area,EMU,1962,64.64047743
European Union,EUU,1962,67.08219523
Fragile and conflict affected situations,FCS,1962,32.70723315
Heavily indebted poor countries (HIPC),HPC,1962,34.44321706
High income,HIC,1962,53.09930157
High income: nonOECD,NOC,1962,37.22699092
High income: OECD,OEC,1962,54.86313277
Latin America & Caribbean (all income levels),LCN,1962,25.61978625
Latin America & Caribbean (developing only),LAC,1962,22.03974656
Least developed countries: UN classification,LDC,1962,34.28814684
Low & middle income,LMY,1962,23.1913682
Low income,LIC,1962,38.19922036
Lower middle income,LMC,1962,27.43047206
Middle East & North Africa (all income levels),MEA,1962,21.83990015
Middle East & North Africa (developing only),MNA,1962,22.49625407
Middle income,MIC,1962,22.38827462
North America,NAC,1962,45.43967658
OECD members,OED,1962,52.27298483
Other small states,OSS,1962,53.22744495
Pacific island small states,PSS,1962,58.79267605
Small states,SST,1962,59.0887377
South Asia,SAS,1962,30.98559553
Sub-Saharan Africa (all income levels),SSF,1962,31.70645944
Sub-Saharan Africa (developing only),SSA,1962,31.67509409
Upper middle income,UMC,1962,19.32849925
World,WLD,1962,32.77895806
Afghanistan,AFG,1962,54.68
Albania,ALB,1962,30.12
Algeria,DZA,1962,39.81
American Samoa,ASM,1962,70.93
Angola,AGO,1962,29.96
Antigua and Barbuda,ATG,1962,121.33
Argentina,ARG,1962,39.35
Armenia,ARM,1962,75.3
Australia,AUS,1962,44.13
Austria,AUT,1962,70.3
Azerbaijan,AZE,1962,82.5
"Bahamas, The",BHS,1962,36.4
Bahrain,BHR,1962,54.38
Bangladesh,BGD,1962,34.91
Barbados,BRB,1962,124.96
Belarus,BLR,1962,110.9
Belize,BLZ,1962,11.4
Benin,BEN,1962,20.97
Bermuda,BMU,1962,133.2
Bhutan,BTN,1962,32.93
Bolivia,BOL,1962,20.88
Bosnia and Herzegovina,BIH,1962,87.7
Botswana,BWA,1962,57.97
Brazil,BRA,1962,16.2
Brunei Darussalam,BRN,1962,21.51
Bulgaria,BGR,1962,125.63
Burkina Faso,BFA,1962,23.21
Burundi,BDI,1962,63.74
Cabo Verde,CPV,1962,30.09
Cambodia,KHM,1962,34.9
Cameroon,CMR,1962,27.35
Canada,CAN,1962,41.33
Cayman Islands,CYM,1962,118.8
Central African Republic,CAF,1962,30.71
Chad,TCD,1962,42.68
Chile,CHL,1962,29.02
China,CHN,1962,14.1
Colombia,COL,1962,29.57
Comoros,COM,1962,41.54
"Congo, Dem. Rep.",ZAR,1962,61.17
"Congo, Rep.",COG,1962,39.97
Costa Rica,CRI,1962,15.71
Cote d'Ivoire,CIV,1962,19.66
Croatia,HRV,1962,104.6
Cuba,CUB,1962,79
Cyprus,CYP,1962,52.64
Denmark,DNK,1962,70.49
