CountryName,CountryCode,Year,CO2 emissions (kt)
"Bahamas, The",BHS,1961,546.383
Bahrain,BHR,1961,1771.161
Barbados,BRB,1961,194.351
Belgium,BEL,1961,92793.435
Belize,BLZ,1961,36.67
Benin,BEN,1961,128.345
Bermuda,BMU,1961,176.016
Bolivia,BOL,1961,1041.428
Brazil,BRA,1961,49203.806
Brunei Darussalam,BRN,1961,304.361
Bulgaria,BGR,1961,25973.361
Burkina Faso,BFA,1961,91.675
Cabo Verde,CPV,1961,22.002
Cambodia,KHM,1961,286.026
Cameroon,CMR,1961,282.359
Canada,CAN,1961,194182.318
Cayman Islands,CYM,1961,11.001
Chad,TCD,1961,51.338
Chile,CHL,1961,14473.649
China,CHN,1961,552066.85
Colombia,COL,1961,18217.656
Comoros,COM,1961,11.001
"Congo, Dem. Rep.",ZAR,1961,2357.881
"Congo, Rep.",COG,1961,267.691
Costa Rica,CRI,1961,491.378
Cote d'Ivoire,CIV,1961,553.717
Cuba,CUB,1961,12181.774
Cyprus,CYP,1961,865.412
Denmark,DNK,1961,31734.218
Djibouti,DJI,1961,44.004
Dominica,DMA,1961,11.001
Dominican Republic,DOM,1961,1030.427
Ecuador,ECU,1961,1646.483
"Egypt, Arab Rep.",EGY,1961,17088.22
El Salvador,SLV,1961,583.053
Equatorial Guinea,GNQ,1961,22.002
Ethiopia,ETH,1961,341.031
Faeroe Islands,FRO,1961,113.677
Fiji,FJI,1961,168.682
Finland,FIN,1961,14939.358
France,FRA,1961,281211.229
French Polynesia,PYF,1961,58.672
Gabon,GAB,1961,165.015
"Gambia, The",GMB,1961,22.002
Ghana,GHA,1961,1345.789
Greece,GRC,1961,9823.893
Greenland,GRL,1961,293.36
Grenada,GRD,1961,18.335
Guatemala,GTM,1961,1408.128
Guinea,GIN,1961,616.056
Guinea-Bissau,GNB,1961,29.336
Guyana,GUY,1961,737.067
Haiti,HTI,1961,297.027
Honduras,HND,1961,737.067
"Hong Kong SAR, China",HKG,1961,3373.64
Hungary,HUN,1961,48976.452
Iceland,ISL,1961,1092.766
India,IND,1961,130402.187
Indonesia,IDN,1961,26024.699
"Iran, Islamic Rep.",IRN,1961,36541.655
Iraq,IRQ,1961,8720.126
Ireland,IRL,1961,12365.124
Israel,ISR,1961,7069.976
Italy,ITA,1961,124549.655
Jamaica,JAM,1961,2130.527
Japan,JPN,1961,283118.069
Jordan,JOR,1961,979.089
Kenya,KEN,1961,2401.885
Kiribati,KIR,1961,7.334
"Korea, Rep.",KOR,1961,14462.648
Kuwait,KWT,1961,9981.574
Lao PDR,LAO,1961,113.677
Lebanon,LBN,1961,2684.244
Liberia,LBR,1961,161.348
Libya,LBY,1961,1195.442
Luxembourg,LUX,1961,11591.387
"Macao SAR, China",MAC,1961,69.673
Madagascar,MDG,1961,355.699
Mali,MLI,1961,117.344
Malta,MLT,1961,293.36
Mauritania,MRT,1961,47.671
Mauritius,MUS,1961,187.017
Mexico,MEX,1961,65305.603
Mongolia,MNG,1961,1393.46
Morocco,MAR,1961,3777.01
Mozambique,MOZ,1961,2632.906
Myanmar,MMR,1961,2592.569
Nepal,NPL,1961,80.674
Netherlands,NLD,1961,75888.565
New Caledonia,NCL,1961,887.414
New Zealand,NZL,1961,11767.403
Nicaragua,NIC,1961,561.051
Niger,NER,1961,55.005
Nigeria,NGA,1961,4114.374
Norway,NOR,1961,13351.547
Pakistan,PAK,1961,14656.999
Palau,PLW,1961,51.338
Panama,PAN,1961,1103.767
Papua New Guinea,PNG,1961,201.685
Paraguay,PRY,1961,363.033
Peru,PER,1961,8643.119
Philippines,PHL,1961,8723.793
Poland,POL,1961,207434.856
Portugal,PRT,1961,9090.493
Qatar,QAT,1961,161.348
Romania,ROM,1961,55775.07
Rwanda,RWA,1961,139.346
Samoa,WSM,1961,18.335
Sao Tome and Principe,STP,1961,11.001
Saudi Arabia,SAU,1961,3571.658
Senegal,SEN,1961,814.074
Sierra Leone,SLE,1961,289.693
Singapore,SGP,1961,2093.857
Solomon Islands,SLB,1961,14.668
Somalia,SOM,1961,88.008
South Africa,ZAF,1961,102213.958
Spain,ESP,1961,53677.546
Sri Lanka,LKA,1961,2335.879
St. Kitts and Nevis,KNA,1961,22.002
